Date,Open,High,Low,Close,Adj Close,Volume
2012-09-10,13308.559570,13653.240234,13251.389648,13593.370117,13593.370117,677180000
2012-09-17,13588.570313,13647.099609,13503.000000,13579.469727,13579.469727,912470000
2012-09-24,13577.849609,13620.209961,13367.269531,13437.129883,13437.129883,644290000
2012-10-01,13437.660156,13661.870117,13424.919922,13610.150391,13610.150391,522630000
2012-10-08,13589.259766,13610.379883,13296.429688,13328.849609,13328.849609,476420000
2012-10-15,13329.540039,13588.730469,13312.219727,13343.509766,13343.509766,731390000
2012-10-22,13344.280273,13368.549805,13017.370117,13107.209961,13107.209961,604000000
2012-10-29,13107.440430,13289.450195,13052.070313,13093.160156,13093.160156,416330000
2012-11-05,13092.280273,13290.750000,12743.389648,12815.389648,12815.389648,635330000
2012-11-12,12815.929688,12898.250000,12471.490234,12588.309570,12588.309570,693000000
2012-11-19,12590.230469,13011.450195,12590.230469,13009.530273,13009.530273,429480000
2012-11-26,13008.450195,13062.559570,12765.320313,13025.580078,13025.580078,647950000
2012-12-03,13027.730469,13157.280273,12923.440430,13155.129883,13155.129883,640400000
2012-12-10,13154.889648,13329.440430,13118.459961,13135.009766,13135.009766,589360000
2012-12-17,13135.169922,13365.860352,13122.530273,13190.839844,13190.839844,977990000
2012-12-24,13190.150391,13190.379883,12926.860352,12938.110352,12938.110352,313260000
2012-12-31,12938.190430,13447.110352,12883.889648,13435.209961,13435.209961,544390000
2013-01-07,13436.129883,13496.679688,13293.129883,13488.429688,13488.429688,618480000
2013-01-14,13488.429688,13649.929688,13445.799805,13649.700195,13649.700195,784080000
2013-01-21,13649.700195,13895.980469,13622.959961,13895.980469,13895.980469,503870000
2013-01-28,13895.980469,14019.780273,13860.580078,14009.790039,14009.790039,610020000
2013-02-04,14009.790039,14022.620117,13852.200195,13992.969727,13992.969727,610760000
2013-02-11,13992.969727,14038.969727,13906.730469,13981.759766,13981.759766,633260000
2013-02-18,13981.759766,14058.269531,13834.400391,14000.570313,14000.570313,546210000
2013-02-25,14000.570313,14149.150391,13784.009766,14089.660156,14089.660156,694850000
2013-03-04,14089.660156,14413.169922,14030.370117,14397.070313,14397.070313,572130000
2013-03-11,14397.070313,14539.290039,14373.320313,14514.110352,14514.110352,806060000
2013-03-18,14514.110352,14546.820313,14382.089844,14512.030273,14512.030273,574950000
2013-03-25,14512.030273,14585.099609,14395.000000,14578.540039,14578.540039,467260000
2013-04-01,14578.540039,14684.490234,14434.429688,14565.250000,14565.250000,553000000
2013-04-08,14565.250000,14887.509766,14497.799805,14865.059570,14865.059570,619920000
2013-04-15,14865.059570,14865.059570,14444.030273,14547.509766,14547.509766,821260000
2013-04-22,14547.509766,14768.049805,14457.599609,14712.549805,14712.549805,680740000
2013-04-29,14712.549805,15009.589844,14687.049805,14973.959961,14973.959961,569000000
2013-05-06,14973.959961,15144.830078,14941.089844,15118.490234,15118.490234,543690000
2013-05-13,15113.419922,15357.400391,15053.459961,15354.400391,15354.400391,663740000
2013-05-20,15348.330078,15542.400391,15180.230469,15303.099609,15303.099609,665710000
2013-05-27,15307.330078,15521.490234,15115.570313,15115.570313,15115.570313,574680000
2013-06-03,15123.549805,15304.980469,14844.219727,15248.120117,15248.120117,701450000
2013-06-10,15247.809570,15300.639648,14953.450195,15070.179688,15070.179688,513550000
2013-06-17,15078.709961,15340.089844,14688.429688,14799.400391,14799.400391,942550000
2013-06-24,14795.790039,15075.009766,14551.269531,14909.599609,14909.599609,771490000
2013-07-01,14911.599609,15137.509766,14858.929688,15135.839844,15135.839844,392740000
2013-07-08,15137.219727,15498.389648,15137.219727,15464.299805,15464.299805,606230000
2013-07-15,15459.690430,15589.400391,15415.709961,15543.740234,15543.740234,697170000
2013-07-22,15543.969727,15604.219727,15405.160156,15558.830078,15558.830078,577080000
2013-07-29,15557.139648,15658.429688,15479.129883,15658.360352,15658.360352,565790000
2013-08-05,15651.980469,15655.209961,15346.650391,15425.509766,15425.509766,425180000
2013-08-12,15415.219727,15504.139648,15054.379883,15081.469727,15081.469727,533840000
2013-08-19,15076.790039,15106.389648,14880.839844,15010.509766,15010.509766,597690000
2013-08-26,15014.580078,15049.980469,14760.410156,14810.309570,14810.309570,555070000
2013-09-02,14801.549805,15009.839844,14777.480469,14922.500000,14922.500000,474100000
2013-09-09,14927.190430,15380.969727,14927.190430,15376.059570,15376.059570,486600000
2013-09-16,15381.360352,15709.580078,15381.360352,15451.089844,15451.089844,851560000
2013-09-23,15452.309570,15466.950195,15211.809570,15258.240234,15258.240234,436950000
2013-09-30,15249.820313,15249.820313,14947.030273,15072.580078,15072.580078,457280000
2013-10-07,15069.299805,15237.299805,14719.429688,15237.110352,15237.110352,477770000
2013-10-14,15231.330078,15412.969727,15136.379883,15399.650391,15399.650391,530860000
2013-10-21,15401.320313,15570.599609,15362.660156,15570.280273,15570.280273,490460000
2013-10-28,15569.190430,15721.000000,15533.480469,15615.549805,15615.549805,474410000
2013-11-04,15621.200195,15797.679688,15522.179688,15761.780273,15761.780273,477350000
2013-11-11,15759.280273,15962.980469,15672.000000,15961.700195,15961.700195,480890000
2013-11-18,15962.719727,16068.780273,15865.370117,16064.769531,16064.769531,423780000
2013-11-25,16072.089844,16174.509766,16055.459961,16086.410156,16086.410156,336410000
2013-12-02,16087.120117,16098.000000,15791.290039,16020.200195,16020.200195,534020000
2013-12-09,16019.490234,16058.400391,15703.790039,15755.360352,15755.360352,467450000
2013-12-16,15759.599609,16287.839844,15759.599609,16221.139648,16221.139648,712750000
2013-12-23,16225.250000,16529.009766,16225.250000,16478.410156,16478.410156,209960000
2013-12-30,16484.509766,16588.250000,16416.490234,16469.990234,16469.990234,286710000
2014-01-06,16474.039063,16562.320313,16378.610352,16437.050781,16437.050781,443090000
2014-01-13,16434.029297,16505.279297,16240.599609,16458.560547,16458.560547,583760000
2014-01-20,16459.269531,16520.599609,15879.110352,15879.110352,15879.110352,441030000
2014-01-27,15879.049805,15945.889648,15617.549805,15698.849609,15698.849609,555430000
2014-02-03,15697.690430,15798.509766,15340.690430,15794.080078,15794.080078,593050000
2014-02-10,15793.629883,16175.549805,15733.690430,16154.389648,16154.389648,440880000
2014-02-17,16153.969727,16225.719727,16006.589844,16103.299805,16103.299805,376110000
2014-02-24,16102.269531,16398.949219,16102.269531,16321.709961,16321.709961,657780000
2014-03-03,16321.709961,16505.699219,16071.250000,16452.720703,16452.720703,419450000
2014-03-10,16453.099609,16460.330078,16046.990234,16065.669922,16065.669922,396080000
2014-03-17,16066.370117,16456.449219,16066.370117,16302.769531,16302.769531,703380000
2014-03-24,16303.280273,16466.039063,16191.790039,16323.059570,16323.059570,472520000
2014-03-31,16324.219727,16631.630859,16324.219727,16412.710938,16412.710938,452210000
2014-04-07,16414.150391,16456.119141,16015.320313,16026.750000,16026.750000,538700000
2014-04-14,16028.290039,16460.490234,16028.290039,16408.539063,16408.539063,418710000
2014-04-21,16408.919922,16565.710938,16333.780273,16361.459961,16361.459961,412130000
2014-04-28,16363.200195,16620.060547,16312.660156,16512.890625,16512.890625,424260000
2014-05-05,16509.750000,16622.949219,16357.349609,16583.339844,16583.339844,389130000
2014-05-12,16584.820313,16735.509766,16397.460938,16491.310547,16491.310547,440800000
2014-05-19,16490.349609,16613.070313,16341.299805,16606.269531,16606.269531,354650000
2014-05-26,16607.419922,16721.220703,16607.419922,16717.169922,16717.169922,304040000
2014-06-02,16716.849609,16924.279297,16673.650391,16924.279297,16924.279297,341950000
2014-06-09,16926.080078,16970.169922,16703.730469,16775.740234,16775.740234,361330000
2014-06-16,16765.560547,16978.019531,16722.859375,16947.080078,16947.080078,542720000
2014-06-23,16946.500000,16969.699219,16746.089844,16851.839844,16851.839844,419120000
2014-06-30,16852.490234,17074.650391,16801.939453,17068.259766,17068.259766,289050000
2014-07-07,17063.830078,17063.830078,16805.380859,16943.810547,16943.810547,332360000
2014-07-14,16950.929688,17151.560547,16950.929688,17100.179688,17100.179688,485570000
2014-07-21,17095.109375,17133.429688,16915.650391,16960.570313,16960.570313,352670000
2014-07-28,16956.910156,17056.460938,16437.070313,16493.369141,16493.369141,406450000
2014-08-04,16493.720703,16596.220703,16333.780273,16553.929688,16553.929688,394340000
2014-08-11,16557.269531,16775.269531,16518.060547,16662.910156,16662.910156,365900000
2014-08-18,16664.449219,17074.589844,16664.449219,17001.220703,17001.220703,334340000
2014-08-25,17011.810547,17153.800781,17011.810547,17098.449219,17098.449219,303160000
2014-09-01,17097.419922,17161.550781,17009.070313,17137.359375,17137.359375,272340000
2014-09-08,17131.710938,17137.880859,16937.669922,16987.509766,16987.509766,357920000
2014-09-15,16988.759766,17350.640625,16951.380859,17279.740234,17279.740234,667670000
2014-09-22,17271.710938,17277.880859,16945.800781,17113.150391,17113.150391,400110000
2014-09-29,17107.689453,17145.099609,16674.039063,17009.689453,17009.689453,440180000
2014-10-06,17010.339844,17099.390625,16543.910156,16544.099609,16544.099609,1071380000
2014-10-13,16535.429688,16602.410156,15855.120117,16380.410156,16380.410156,648200000
2014-10-20,16373.150391,16811.710938,16260.540039,16805.410156,16805.410156,481300000
2014-10-27,16796.099609,17395.539063,16729.830078,17390.519531,17390.519531,434690000
2014-11-03,17390.900391,17575.330078,17278.359375,17573.929688,17573.929688,390980000
2014-11-10,17568.980469,17705.480469,17536.169922,17634.740234,17634.740234,353680000
2014-11-17,17631.849609,17894.830078,17603.890625,17810.060547,17810.060547,450210000
2014-11-24,17812.630859,17893.419922,17790.890625,17828.240234,17828.240234,321620000
2014-12-01,17827.269531,17991.189453,17726.550781,17958.789063,17958.789063,423140000
2014-12-08,17954.939453,17960.560547,17280.830078,17280.830078,17280.830078,516230000
2014-12-15,17285.740234,17874.029297,17067.589844,17804.800781,17804.800781,816540000
2014-12-22,17812.250000,18103.449219,17812.250000,18053.710938,18053.710938,276790000
2014-12-29,18046.580078,18073.039063,17731.300781,17832.990234,17832.990234,260470000
2015-01-05,17821.300781,17916.039063,17262.369141,17737.369141,17737.369141,517340000
2015-01-12,17742.050781,17923.009766,17243.550781,17511.570313,17511.570313,536040000
2015-01-19,17516.960938,17840.890625,17346.730469,17672.599609,17672.599609,424220000
2015-01-26,17668.109375,17696.359375,17136.300781,17164.949219,17164.949219,619390000
2015-02-02,17169.990234,17951.089844,17037.759766,17824.289063,17824.289063,497010000
2015-02-09,17821.490234,18037.410156,17685.320313,18019.349609,18019.349609,463800000
2015-02-16,18019.800781,18144.289063,17878.369141,18140.439453,18140.439453,364370000
2015-02-23,18140.759766,18244.380859,18054.839844,18132.699219,18132.699219,426070000
2015-03-02,18134.050781,18288.630859,17825.150391,17856.779297,17856.779297,443710000
2015-03-09,17856.560547,18031.039063,17620.490234,17749.310547,17749.310547,533560000
2015-03-16,17751.240234,18197.289063,17697.519531,18127.650391,18127.650391,756960000
2015-03-23,18136.730469,18205.929688,17579.269531,17712.660156,17712.660156,512740000
2015-03-30,17727.480469,18008.640625,17585.009766,17763.240234,17763.240234,414240000
2015-04-06,17755.500000,18066.759766,17646.800781,18057.650391,18057.650391,452970000
2015-04-13,18052.320313,18169.259766,17748.529297,17826.300781,17826.300781,544910000
2015-04-20,17841.179688,18133.029297,17841.179688,18080.140625,18080.140625,508970000
2015-04-27,18097.890625,18175.560547,17774.890625,18024.060547,18024.060547,569000000
2015-05-04,18026.019531,18205.230469,17733.119141,18191.109375,18191.109375,457660000
2015-05-11,18187.779297,18272.720703,17924.800781,18272.560547,18272.560547,460300000
2015-05-18,18267.250000,18351.359375,18217.140625,18232.019531,18232.019531,409630000
2015-05-25,18229.750000,18229.750000,17967.740234,18010.679688,18010.679688,413160000
2015-06-01,18017.820313,18168.089844,17822.900391,17849.460938,17849.460938,418920000
2015-06-08,17849.460938,18109.769531,17714.970703,17898.839844,17898.839844,447080000
2015-06-15,17890.759766,18174.730469,17698.419922,18015.949219,18015.949219,614600000
2015-06-22,18027.630859,18188.810547,17890.359375,17946.679688,17946.679688,495840000
2015-06-29,17936.740234,17936.740234,17576.500000,17730.109375,17730.109375,412890000
2015-07-06,17728.080078,17797.490234,17465.679688,17760.410156,17760.410156,452120000
