Date,Open,High,Low,Close,Adj Close,Volume
2016-09-12,18028.949219,18358.689453,17992.210938,18123.800781,18123.800781,687510000
2016-09-19,18154.820313,18449.880859,18093.050781,18261.449219,18261.449219,404830000
2016-09-26,18217.759766,18369.619141,18052.160156,18308.150391,18308.150391,508640000
2016-10-03,18279.599609,18319.730469,18116.259766,18240.490234,18240.490234,385760000
2016-10-10,18282.949219,18399.960938,17959.949219,18138.380859,18138.380859,403160000
2016-10-17,18135.849609,18252.199219,18049.769531,18145.710938,18145.710938,445240000
2016-10-24,18197.140625,18275.039063,18062.300781,18161.189453,18161.189453,449450000
2016-10-31,18176.599609,18193.679688,17883.560547,17888.279297,17888.279297,475590000
2016-11-07,17994.640625,18873.660156,17994.640625,18847.660156,18847.660156,618070000
2016-11-14,18876.769531,18934.050781,18806.060547,18867.929688,18867.929688,500050000
2016-11-21,18898.679688,19152.140625,18883.099609,19152.140625,19152.140625,289600000
2016-11-28,19122.140625,19225.289063,19062.220703,19170.419922,19170.419922,528260000
2016-12-05,19244.349609,19757.740234,19184.740234,19756.849609,19756.849609,1647000000
2016-12-12,19770.199219,19966.429688,19747.740234,19843.410156,19843.410156,2061330000
2016-12-19,19836.660156,19987.630859,19832.949219,19933.810547,19933.810547,1259580000
2016-12-26,19943.460938,19981.109375,19718.669922,19762.599609,19762.599609,790840000
2017-01-02,19872.859375,19999.630859,19775.929688,19963.800781,19963.800781,1166810000
2017-01-09,19931.410156,19973.419922,19770.470703,19885.730469,19885.730469,1493140000
2017-01-16,19848.820313,19882.990234,19677.939453,19827.25,19827.25,1358670000
2017-01-23,19794.789063,20125.580078,19732.359375,20093.779297,20093.779297,1773250000
2017-01-30,20028.619141,20081.480469,19784.769531,20071.460938,20071.460938,1809140000
2017-02-06,20025.609375,20298.210938,20002.810547,20269.369141,20269.369141,1479340000
2017-02-13,20338.539063,20639.869141,20322.949219,20624.050781,20624.050781,1750320000
2017-02-20,20663.429688,20840.699219,20663.369141,20821.759766,20821.759766,1242060000
2017-02-27,20808.710938,21169.109375,20774.759766,21005.710938,21005.710938,1562900000
2017-03-06,20955.710938,20986.429688,20777.160156,20902.980469,20902.980469,1429420000
2017-03-13,20899.279297,21000.109375,20786.310547,20914.619141,20914.619141,1642310000
2017-03-20,20916.269531,20970.039063,20529.669922,20596.720703,20596.720703,1521050000
2017-03-27,20488.349609,20753.779297,20412.800781,20663.220703,20663.220703,1382040000
2017-04-03,20665.169922,20887.5,20517.820313,20656.099609,20656.099609,1279490000
2017-04-10,20668.220703,20750.330078,20453.25,20453.25,20453.25,989080000
2017-04-17,20484.75,20644.410156,20379.550781,20547.759766,20547.759766,1469250000
2017-04-24,20723.589844,21070.900391,20723.589844,20940.509766,20940.509766,1654810000
2017-05-01,20962.730469,21006.939453,20847.949219,21006.939453,21006.939453,1473570000
2017-05-08,20991.259766,21046.849609,20798.900391,20896.609375,20896.609375,1408670000
2017-05-15,20923.630859,21033.529297,20553.449219,20804.839844,20804.839844,1835720000
2017-05-22,20867.769531,21112.320313,20860.160156,21080.279297,21080.279297,1281220000
2017-05-29,21045.490234,21225.039063,20942.570313,21206.289063,21206.289063,1220820000
2017-06-05,21195.029297,21305.349609,21113.310547,21271.970703,21271.970703,1554270000
2017-06-12,21259.949219,21391.970703,21186.150391,21384.279297,21384.279297,2067140000
2017-06-19,21444.75,21535.029297,21333.890625,21394.759766,21394.759766,1531180000
2017-06-26,21434.679688,21506.210938,21197.080078,21349.630859,21349.630859,1455570000
2017-07-03,21392.300781,21562.75,21305.380859,21414.339844,21414.339844,1023190000
2017-07-10,21381.230469,21681.529297,21279.300781,21637.740234,21637.740234,1253640000
2017-07-17,21633.970703,21661.910156,21471.140625,21580.070313,21580.070313,1425710000
2017-07-24,21577.779297,21841.179688,21496.130859,21830.310547,21830.310547,1559570000
2017-07-31,21863.390625,22092.810547,21861.710938,22092.810547,22092.810547,1505210000
2017-08-07,22100.199219,22179.109375,21842.740234,21858.320313,21858.320313,1293910000
2017-08-14,21945.640625,22085.710938,21641.630859,21674.509766,21674.509766,1389120000
2017-08-21,21671.359375,21912.830078,21600.339844,21813.669922,21813.669922,1203720000
2017-08-28,21832.5,22038.970703,21673.580078,21987.560547,21987.560547,1321950000
2017-09-04,21912.369141,21921.089844,21709.630859,21797.789063,21797.789063,1274810000
2017-09-08,21764.429688,21846.630859,21731.119141,21797.789063,21797.789063,289404747
